model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
BaselineCNN,baseline,none,0.0,42,0.94525,0.9411473298325572,0.9499,0.9455034091474644,0.9880404349999998,10,5,0.001,False
BaselineCNN,baseline,noise,0.04,42,0.89495,0.9653587840226228,0.8193,0.8863525720776763,0.97502199,10,5,0.001,False
BaselineCNN,baseline,noise,0.06,42,0.8492,0.9623940677966102,0.7268,0.8281677301731997,0.95468316,10,5,0.001,False
BaselineCNN,baseline,noise,0.08,42,0.82025,0.9362484675112382,0.6873,0.7926878496049824,0.927451155,10,5,0.001,False
BaselineCNN,baseline,noise,0.09,42,0.81295,0.9136814276272308,0.6912,0.7870196413321947,0.911677685,10,5,0.001,False
BaselineCNN,baseline,noise,0.1,42,0.8058,0.8795928500496525,0.7086,0.784891448825875,0.89617481,10,5,0.001,False
BaselineCNN,baseline,blur,0.4,42,0.93235,0.9718432827676524,0.8905,0.9293951886447842,0.98691532,10,5,0.001,False
BaselineCNN,baseline,blur,0.6,42,0.68525,0.9878851725046088,0.3751,0.5437413930564615,0.9177717,10,5,0.001,False
BaselineCNN,baseline,blur,0.7,42,0.64055,0.983155723616363,0.286,0.4431017119838872,0.87223299,10,5,0.001,False
BaselineCNN,baseline,blur,0.8,42,0.62995,0.9751371115173676,0.2667,0.4188457008244994,0.8455233350000001,10,5,0.001,False
BaselineCNN,baseline,blur,1.0,42,0.6345,0.9599863201094392,0.2807,0.4343856391210152,0.81886428,10,5,0.001,False
BaselineCNN,baseline,jpeg,80.0,42,0.9408,0.9587843463780183,0.9212,0.9396164830681356,0.9867956650000004,10,5,0.001,False
BaselineCNN,baseline,jpeg,65.0,42,0.93175,0.8988452655889145,0.973,0.934453781512605,0.98599784,10,5,0.001,False
BaselineCNN,baseline,jpeg,58.0,42,0.899,0.840385599727009,0.9851,0.9070067212963816,0.98243725,10,5,0.001,False
BaselineCNN,baseline,jpeg,50.0,42,0.89675,0.8429423459244533,0.9752,0.9042607445871388,0.97532236,10,5,0.001,False
BaselineCNN,baseline,jpeg,40.0,42,0.88635,0.973178199632578,0.7946,0.8748692540600055,0.97443358,10,5,0.001,False
BaselineCNN,robust,none,0.0,42,0.9505,0.9479912490055687,0.9533,0.95063821300359,0.988945235,19,14,0.001,True
BaselineCNN,robust,noise,0.04,42,0.9486,0.9490490490490492,0.9481,0.9485742871435718,0.988256415,19,14,0.001,True
BaselineCNN,robust,noise,0.06,42,0.94525,0.9453836150845254,0.9451,0.9452417862679402,0.987035825,19,14,0.001,True
BaselineCNN,robust,noise,0.08,42,0.94295,0.9459377831470854,0.9396,0.9427582401043496,0.98626605,19,14,0.001,True
BaselineCNN,robust,noise,0.09,42,0.9374,0.9394213381555152,0.9351,0.93725568808259,0.9847487749999998,19,14,0.001,True
BaselineCNN,robust,noise,0.1,42,0.93705,0.9376189045759488,0.9364,0.937009055886326,0.9834294749999998,19,14,0.001,True
BaselineCNN,robust,blur,0.4,42,0.9404,0.9608622854750942,0.9182,0.939046839844549,0.98649016,19,14,0.001,True
BaselineCNN,robust,blur,0.6,42,0.8383,0.9723540910360234,0.6964,0.8115604241929845,0.95769375,19,14,0.001,True
BaselineCNN,robust,blur,0.7,42,0.7967,0.9700570342205324,0.6123,0.7507356547327121,0.93876919,19,14,0.001,True
BaselineCNN,robust,blur,0.8,42,0.769,0.965076071922545,0.5582,0.7072985301571212,0.92162235,19,14,0.001,True
BaselineCNN,robust,blur,1.0,42,0.74165,0.9519356648587992,0.509,0.6633218218544341,0.8921679249999999,19,14,0.001,True
BaselineCNN,robust,jpeg,80.0,42,0.9456,0.950556117290192,0.9401,0.9452991452991452,0.98728818,19,14,0.001,True
BaselineCNN,robust,jpeg,65.0,42,0.95155,0.944132979246582,0.9599,0.9519512074180592,0.9900459,19,14,0.001,True
BaselineCNN,robust,jpeg,58.0,42,0.95075,0.9333717911739255,0.9708,0.9517180530366158,0.99054086,19,14,0.001,True
BaselineCNN,robust,jpeg,50.0,42,0.9468,0.9383830455259028,0.9564,0.9473058637083994,0.98802079,19,14,0.001,True
BaselineCNN,robust,jpeg,40.0,42,0.92675,0.9596122778675282,0.891,0.9240342234897588,0.981733975,19,14,0.001,True
BaselineCNN,baseline,none,0.0,43,0.94255,0.9362247412518482,0.9498,0.942963514519732,0.987308365,9,4,0.001,False
BaselineCNN,baseline,noise,0.04,43,0.89485,0.973498021345485,0.8118,0.8853263536725012,0.978042105,9,4,0.001,False
BaselineCNN,baseline,noise,0.06,43,0.8412,0.9737572896417662,0.7013,0.8153703057783979,0.962095425,9,4,0.001,False
BaselineCNN,baseline,noise,0.08,43,0.80845,0.9643233478849916,0.6406,0.7698131346512047,0.941990555,9,4,0.001,False
BaselineCNN,baseline,noise,0.09,43,0.80155,0.949470860038754,0.637,0.7624633431085044,0.93048148,9,4,0.001,False
BaselineCNN,baseline,noise,0.1,43,0.79985,0.930386105927946,0.6482,0.7640714327812813,0.917436905,9,4,0.001,False
BaselineCNN,baseline,blur,0.4,43,0.9327,0.9645694653210222,0.8984,0.9303096199647924,0.98523204,9,4,0.001,False
BaselineCNN,baseline,blur,0.6,43,0.72525,0.9735127180996428,0.4631,0.6276343430236498,0.9140309,9,4,0.001,False
BaselineCNN,baseline,blur,0.7,43,0.6752,0.956725755995829,0.367,0.5305001445504481,0.8640564499999999,9,4,0.001,False
BaselineCNN,baseline,blur,0.8,43,0.66235,0.933974873028602,0.3494,0.5085510515974092,0.8318041899999999,9,4,0.001,False
BaselineCNN,baseline,blur,1.0,43,0.66835,0.8828746872867864,0.3882,0.5392790164617629,0.7987666,9,4,0.001,False
BaselineCNN,baseline,jpeg,80.0,43,0.93825,0.9521304033838852,0.9229,0.9372873609912152,0.98535683,9,4,0.001,False
BaselineCNN,baseline,jpeg,65.0,43,0.93365,0.9023100473142222,0.9726,0.9361374464603688,0.986841395,9,4,0.001,False
BaselineCNN,baseline,jpeg,58.0,43,0.91275,0.8601972248887337,0.9857,0.9186821380306632,0.985117035,9,4,0.001,False
BaselineCNN,baseline,jpeg,50.0,43,0.9091,0.862677304964539,0.9731,0.9145676691729324,0.9785538849999998,9,4,0.001,False
BaselineCNN,baseline,jpeg,40.0,43,0.8889,0.9640811455847256,0.8079,0.879107725788901,0.97208453,9,4,0.001,False
BaselineCNN,robust,none,0.0,43,0.94855,0.950035115882412,0.9469,0.9484649671958733,0.988949785,19,14,0.001,True
BaselineCNN,robust,noise,0.04,43,0.94665,0.9532217148655504,0.9394,0.9462603878116344,0.98838636,19,14,0.001,True
BaselineCNN,robust,noise,0.06,43,0.9439,0.9529591836734694,0.9339,0.9433333333333334,0.9871693,19,14,0.001,True
BaselineCNN,robust,noise,0.08,43,0.94035,0.9500255493101686,0.9296,0.9397017942886025,0.985519645,19,14,0.001,True
BaselineCNN,robust,noise,0.09,43,0.93835,0.9476156438272236,0.928,0.9377052493305714,0.98468611,19,14,0.001,True
