model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
BaselineCNN,baseline,none,0.0,42,0.94525,0.9411473298325572,0.9499,0.9455034091474643,0.9880404349999998,10,5,0.001,False
BaselineCNN,baseline,noise,0.04,42,0.89495,0.9653587840226229,0.8193,0.8863525720776763,0.97502199,10,5,0.001,False
BaselineCNN,baseline,noise,0.06,42,0.8492,0.9623940677966102,0.7268,0.8281677301731997,0.9546831600000001,10,5,0.001,False
BaselineCNN,baseline,noise,0.08,42,0.82025,0.9362484675112382,0.6873,0.7926878496049824,0.9274511550000001,10,5,0.001,False
BaselineCNN,baseline,noise,0.09,42,0.81295,0.9136814276272307,0.6912,0.7870196413321947,0.9116776850000001,10,5,0.001,False
BaselineCNN,baseline,noise,0.1,42,0.8058,0.8795928500496525,0.7086,0.784891448825875,0.89617481,10,5,0.001,False
BaselineCNN,baseline,blur,0.4,42,0.93235,0.9718432827676525,0.8905,0.9293951886447842,0.98691532,10,5,0.001,False
BaselineCNN,baseline,blur,0.6,42,0.68525,0.9878851725046089,0.3751,0.5437413930564615,0.9177717,10,5,0.001,False
BaselineCNN,baseline,blur,0.7,42,0.64055,0.983155723616363,0.286,0.4431017119838872,0.87223299,10,5,0.001,False
BaselineCNN,baseline,blur,0.8,42,0.62995,0.9751371115173675,0.2667,0.4188457008244994,0.8455233350000001,10,5,0.001,False
BaselineCNN,baseline,blur,1.0,42,0.6345,0.9599863201094391,0.2807,0.4343856391210152,0.81886428,10,5,0.001,False
BaselineCNN,baseline,jpeg,80.0,42,0.9408,0.9587843463780183,0.9212,0.9396164830681355,0.9867956650000003,10,5,0.001,False
BaselineCNN,baseline,jpeg,65.0,42,0.93175,0.8988452655889145,0.973,0.934453781512605,0.98599784,10,5,0.001,False
BaselineCNN,baseline,jpeg,58.0,42,0.899,0.840385599727009,0.9851,0.9070067212963816,0.98243725,10,5,0.001,False
BaselineCNN,baseline,jpeg,50.0,42,0.89675,0.8429423459244533,0.9752,0.9042607445871389,0.9753223599999999,10,5,0.001,False
BaselineCNN,baseline,jpeg,40.0,42,0.88635,0.9731781996325781,0.7946,0.8748692540600055,0.9744335800000001,10,5,0.001,False
