model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
ResNet18,baseline,none,0.0,42,0.96985,0.9692399880155798,0.9705,0.9698695847698996,0.995605015,9,4,0.0001,False
ResNet18,baseline,noise,0.04,42,0.90045,0.969405696870238,0.827,0.8925584156278669,0.982058375,9,4,0.0001,False
ResNet18,baseline,noise,0.06,42,0.807,0.9180283224400873,0.6742,0.7774446494464945,0.939066555,9,4,0.0001,False
ResNet18,baseline,noise,0.08,42,0.7285,0.8300115540150202,0.5747,0.6791538643346726,0.86121982,9,4,0.0001,False
ResNet18,baseline,noise,0.09,42,0.6982,0.7758140829390482,0.5575,0.6487838938671011,0.81781374,9,4,0.0001,False
ResNet18,baseline,noise,0.1,42,0.6761,0.7289391575663027,0.5607,0.6338458060140176,0.7805509399999999,9,4,0.0001,False
ResNet18,baseline,blur,0.4,42,0.95705,0.9821711150965292,0.931,0.9559012269623696,0.99499522,9,4,0.0001,False
ResNet18,baseline,blur,0.6,42,0.66875,0.9970544918998528,0.3385,0.5054124673385592,0.95195567,9,4,0.0001,False
ResNet18,baseline,blur,0.7,42,0.6061,0.9957943925233644,0.2131,0.3510708401976936,0.901016275,9,4,0.0001,False
ResNet18,baseline,blur,0.8,42,0.592,0.9919786096256684,0.1855,0.3125526537489469,0.86593276,9,4,0.0001,False
ResNet18,baseline,blur,1.0,42,0.60525,0.9659141212926072,0.2182,0.3559833591646953,0.822382745,9,4,0.0001,False
ResNet18,baseline,jpeg,80.0,42,0.96165,0.9786417833074132,0.9439,0.9609569865105624,0.99504533,9,4,0.0001,False
ResNet18,baseline,jpeg,65.0,42,0.9588,0.9436279249661574,0.9759,0.9594926752531708,0.99361109,9,4,0.0001,False
ResNet18,baseline,jpeg,58.0,42,0.94775,0.92663172939495,0.9725,0.9490119541351548,0.9904756,9,4,0.0001,False
ResNet18,baseline,jpeg,50.0,42,0.942,0.9307152601832002,0.9551,0.9427499753232652,0.98743489,9,4,0.0001,False
ResNet18,baseline,jpeg,40.0,42,0.89405,0.9881085098476404,0.7977,0.8827532783710508,0.986323825,9,4,0.0001,False
ResNet18,robust,none,0.0,42,0.97255,0.9670851042799248,0.9784,0.9727096485559475,0.99677644,11,6,0.0001,True
ResNet18,robust,noise,0.04,42,0.97055,0.9684420109507218,0.9728,0.970616113744076,0.99639122,11,6,0.0001,True
ResNet18,robust,noise,0.06,42,0.9702,0.9703881552621048,0.97,0.9701940388077616,0.995772005,11,6,0.0001,True
ResNet18,robust,noise,0.08,42,0.96585,0.9656171914042978,0.9661,0.9658585353661584,0.99499828,11,6,0.0001,True
ResNet18,robust,noise,0.09,42,0.96175,0.9623510563732852,0.9611,0.9617251213288638,0.9937091950000002,11,6,0.0001,True
ResNet18,robust,noise,0.1,42,0.95965,0.9600640576518868,0.9592,0.9596318343254464,0.992808445,11,6,0.0001,True
ResNet18,robust,blur,0.4,42,0.97025,0.9794066673463148,0.9607,0.9699631480640112,0.99618484,11,6,0.0001,True
ResNet18,robust,blur,0.6,42,0.8554,0.992789794786467,0.716,0.8319776899837322,0.98536823,11,6,0.0001,True
ResNet18,robust,blur,0.7,42,0.77375,0.9933321319156604,0.5512,0.7089845006109717,0.972463885,11,6,0.0001,True
ResNet18,robust,blur,0.8,42,0.71635,0.9927123662035984,0.4359,0.605795288722118,0.95544885,11,6,0.0001,True
ResNet18,robust,blur,1.0,42,0.6596,0.9818840579710144,0.3252,0.4885817307692308,0.9085007850000002,11,6,0.0001,True
ResNet18,robust,jpeg,80.0,42,0.9716,0.9711288711288713,0.9721,0.9716141929035482,0.99629041,11,6,0.0001,True
ResNet18,robust,jpeg,65.0,42,0.97145,0.9625233003041302,0.9811,0.9717228742633586,0.9967475,11,6,0.0001,True
ResNet18,robust,jpeg,58.0,42,0.9683,0.9541311093871218,0.9839,0.9687869239858212,0.996702765,11,6,0.0001,True
ResNet18,robust,jpeg,50.0,42,0.9666,0.959251968503937,0.9746,0.9668650793650794,0.995444455,11,6,0.0001,True
ResNet18,robust,jpeg,40.0,42,0.95855,0.9765146004364544,0.9397,0.9577536564235846,0.99324645,11,6,0.0001,True
ResNet18,baseline,none,0.0,43,0.96695,0.9716190283809716,0.962,0.9667855886638862,0.995166315,8,3,0.0001,False
ResNet18,baseline,noise,0.04,43,0.9082,0.9843379212149976,0.8296,0.9003690036900369,0.987844165,8,3,0.0001,False
ResNet18,baseline,noise,0.06,43,0.83055,0.9802411739067268,0.6747,0.7992655333767695,0.969454225,8,3,0.0001,False
ResNet18,baseline,noise,0.08,43,0.7515,0.9525008996041742,0.5294,0.6805501992544029,0.92792953,8,3,0.0001,False
ResNet18,baseline,noise,0.09,43,0.72235,0.9158406583130728,0.4897,0.6381703264481657,0.8931783099999999,8,3,0.0001,False
ResNet18,baseline,noise,0.1,43,0.7067,0.8670099431818182,0.4883,0.6247441146366428,0.85490132,8,3,0.0001,False
ResNet18,baseline,blur,0.4,43,0.94925,0.9868863119106968,0.9106,0.947209653092006,0.99422815,8,3,0.0001,False
ResNet18,baseline,blur,0.6,43,0.63615,0.996716526815031,0.2732,0.4288517384820657,0.94592659,8,3,0.0001,False
ResNet18,baseline,blur,0.7,43,0.5658,0.9917787742899852,0.1327,0.2340800846710178,0.8917734700000001,8,3,0.0001,False
ResNet18,baseline,blur,0.8,43,0.54675,0.9844559585492229,0.095,0.1732786137710898,0.8488204850000001,8,3,0.0001,False
ResNet18,baseline,blur,1.0,43,0.5483,0.9726027397260274,0.0994,0.1803665396479767,0.7912529000000001,8,3,0.0001,False
ResNet18,baseline,jpeg,80.0,43,0.95705,0.9816629781852672,0.9315,0.9559238544820154,0.99427154,8,3,0.0001,False
ResNet18,baseline,jpeg,65.0,43,0.96175,0.9481704357953994,0.9769,0.9623208392848348,0.994290515,8,3,0.0001,False
ResNet18,baseline,jpeg,58.0,43,0.95,0.9243681629573746,0.9802,0.9514657348087748,0.992741605,8,3,0.0001,False
ResNet18,baseline,jpeg,50.0,43,0.9478,0.9365373367128096,0.9607,0.9484648040280385,0.989633565,8,3,0.0001,False
ResNet18,baseline,jpeg,40.0,43,0.87795,0.9874887140461756,0.7656,0.8625021123190447,0.98261659,8,3,0.0001,False
ResNet18,robust,none,0.0,43,0.97095,0.9710913273982196,0.9708,0.970945641846277,0.9961403,11,6,0.0001,True
ResNet18,robust,noise,0.04,43,0.9692,0.972983870967742,0.9652,0.9690763052208836,0.995877855,11,6,0.0001,True
ResNet18,robust,noise,0.06,43,0.9662,0.9704339051463168,0.9617,0.9660472124560522,0.9953360100000002,11,6,0.0001,True
ResNet18,robust,noise,0.08,43,0.9631,0.9684402184907952,0.9574,0.9628884642462032,0.99450163,11,6,0.0001,True
ResNet18,robust,noise,0.09,43,0.96095,0.964152653307824,0.9575,0.9608148110982891,0.993847035,11,6,0.0001,True
ResNet18,robust,noise,0.1,43,0.9591,0.9620571658615136,0.9559,0.9589686998394864,0.993195865,11,6,0.0001,True
ResNet18,robust,blur,0.4,43,0.9652,0.981473814945146,0.9483,0.9646017699115044,0.99577489,11,6,0.0001,True
ResNet18,robust,blur,0.6,43,0.86805,0.9918481892289188,0.7422,0.8490533661270949,0.986960685,11,6,0.0001,True
ResNet18,robust,blur,0.7,43,0.79945,0.9919500574995892,0.6038,0.7506682414371854,0.977870895,11,6,0.0001,True
ResNet18,robust,blur,0.8,43,0.74345,0.9905299214184968,0.4916,0.6570874824567265,0.96681602,11,6,0.0001,True
ResNet18,robust,blur,1.0,43,0.6684,0.986424032351242,0.3415,0.5073540335759916,0.93644277,11,6,0.0001,True
ResNet18,robust,jpeg,80.0,43,0.9686,0.9737161342498988,0.9632,0.9684295194047858,0.9957892650000002,11,6,0.0001,True
ResNet18,robust,jpeg,65.0,43,0.97045,0.9696515922931016,0.9713,0.970475096168257,0.996158165,11,6,0.0001,True
ResNet18,robust,jpeg,58.0,43,0.9699,0.9637781287011448,0.9765,0.97009735744089,0.99609851,11,6,0.0001,True
ResNet18,robust,jpeg,50.0,43,0.96595,0.969471032745592,0.9622,0.9658218318695106,0.995109035,11,6,0.0001,True
ResNet18,robust,jpeg,40.0,43,0.9512,0.97847295864263,0.9227,0.9497683993823984,0.99332643,11,6,0.0001,True
ResNet18,baseline,none,0.0,44,0.9711,0.9703474440894568,0.9719,0.971123101518785,0.995746125,9,4,0.0001,False
ResNet18,baseline,noise,0.04,44,0.92365,0.9652937946183416,0.8789,0.9200732792462706,0.985218835,9,4,0.0001,False
ResNet18,baseline,noise,0.06,44,0.86515,0.8915817694369973,0.8314,0.8604398447606727,0.948089505,9,4,0.0001,False
ResNet18,baseline,noise,0.08,44,0.78635,0.7538338799751795,0.8504,0.7992105634133735,0.8703965399999999,9,4,0.0001,False
ResNet18,baseline,noise,0.09,44,0.73725,0.6847597539132466,0.8793,0.7699312639551683,0.8259711349999999,9,4,0.0001,False
ResNet18,baseline,noise,0.1,44,0.6852,0.6279712548369265,0.9088,0.7427263811703171,0.7839543449999999,9,4,0.0001,False
ResNet18,baseline,blur,0.4,44,0.95995,0.9856403758842784,0.9335,0.958861897180422,0.99533855,9,4,0.0001,False
ResNet18,baseline,blur,0.6,44,0.66505,0.996390977443609,0.3313,0.4972607879924953,0.94732011,9,4,0.0001,False
ResNet18,baseline,blur,0.7,44,0.59045,0.987601078167116,0.1832,0.309067903838043,0.8763571950000001,9,4,0.0001,False
ResNet18,baseline,blur,0.8,44,0.57625,0.9744866210329808,0.1566,0.2698371672266735,0.8194722299999999,9,4,0.0001,False
ResNet18,baseline,blur,1.0,44,0.5918,0.9135135135135136,0.2028,0.3319148936170212,0.748063885,9,4,0.0001,False
ResNet18,baseline,jpeg,80.0,44,0.9632,0.9793046357615894,0.9464,0.9625711960943856,0.99514594,9,4,0.0001,False
ResNet18,baseline,jpeg,65.0,44,0.96315,0.949267630226016,0.9786,0.9637106701462406,0.994450285,9,4,0.0001,False
ResNet18,baseline,jpeg,58.0,44,0.9507,0.924308039917153,0.9818,0.9521869847735428,0.992637165,9,4,0.0001,False
ResNet18,baseline,jpeg,50.0,44,0.9453,0.9312415262444316,0.9616,0.946177309849454,0.988732825,9,4,0.0001,False
ResNet18,baseline,jpeg,40.0,44,0.88675,0.98912356140129,0.7821,0.8735131512816217,0.98610158,9,4,0.0001,False
ResNet18,robust,none,0.0,44,0.97605,0.970265731502519,0.9822,0.9761963921880435,0.99741785,14,9,0.0001,True
ResNet18,robust,noise,0.04,44,0.97445,0.9712923413132016,0.9778,0.9745353067224796,0.99703137,14,9,0.0001,True
ResNet18,robust,noise,0.06,44,0.9724,0.970705460342766,0.9742,0.972449590736674,0.996594445,14,9,0.0001,True
ResNet18,robust,noise,0.08,44,0.9687,0.9672981056829512,0.9702,0.9687468796804792,0.995827385,14,9,0.0001,True
ResNet18,robust,noise,0.09,44,0.9679,0.9648321080866282,0.9712,0.9680055815807834,0.995440075,14,9,0.0001,True
ResNet18,robust,noise,0.1,44,0.96575,0.9630181926632866,0.9687,0.9658507403160675,0.994574245,14,9,0.0001,True
ResNet18,robust,blur,0.4,44,0.97345,0.9807087013910042,0.9659,0.9732480225704064,0.996870685,14,9,0.0001,True
ResNet18,robust,blur,0.6,44,0.8978,0.9895397489539748,0.8041,0.887233807789915,0.98722078,14,9,0.0001,True
ResNet18,robust,blur,0.7,44,0.83905,0.9867910983488872,0.6873,0.8102564102564103,0.97490744,14,9,0.0001,True
ResNet18,robust,blur,0.8,44,0.78995,0.9818846601296328,0.5908,0.7377161765624024,0.956571695,14,9,0.0001,True
