model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
ResNet18,baseline,none,0.0,43,0.96695,0.9716190283809716,0.962,0.9667855886638862,0.995166315,8,3,0.0001,False
ResNet18,baseline,noise,0.04,43,0.9082,0.9843379212149976,0.8296,0.9003690036900369,0.987844165,8,3,0.0001,False
ResNet18,baseline,noise,0.06,43,0.83055,0.9802411739067267,0.6747,0.7992655333767695,0.9694542249999999,8,3,0.0001,False
ResNet18,baseline,noise,0.08,43,0.7515,0.9525008996041742,0.5294,0.6805501992544029,0.92792953,8,3,0.0001,False
ResNet18,baseline,noise,0.09,43,0.72235,0.9158406583130727,0.4897,0.6381703264481657,0.8931783099999999,8,3,0.0001,False
ResNet18,baseline,noise,0.1,43,0.7067,0.8670099431818182,0.4883,0.6247441146366428,0.85490132,8,3,0.0001,False
ResNet18,baseline,blur,0.4,43,0.94925,0.9868863119106969,0.9106,0.947209653092006,0.9942281500000001,8,3,0.0001,False
ResNet18,baseline,blur,0.6,43,0.63615,0.996716526815031,0.2732,0.42885173848206576,0.9459265900000001,8,3,0.0001,False
ResNet18,baseline,blur,0.7,43,0.5658,0.9917787742899851,0.1327,0.23408008467101782,0.8917734700000001,8,3,0.0001,False
ResNet18,baseline,blur,0.8,43,0.54675,0.9844559585492227,0.095,0.17327861377108983,0.8488204850000001,8,3,0.0001,False
ResNet18,baseline,blur,1.0,43,0.5483,0.9726027397260274,0.0994,0.18036653964797678,0.7912529000000001,8,3,0.0001,False
ResNet18,baseline,jpeg,80.0,43,0.95705,0.9816629781852672,0.9315,0.9559238544820154,0.99427154,8,3,0.0001,False
ResNet18,baseline,jpeg,65.0,43,0.96175,0.9481704357953994,0.9769,0.9623208392848348,0.9942905150000001,8,3,0.0001,False
ResNet18,baseline,jpeg,58.0,43,0.95,0.9243681629573746,0.9802,0.9514657348087749,0.992741605,8,3,0.0001,False
ResNet18,baseline,jpeg,50.0,43,0.9478,0.9365373367128095,0.9607,0.9484648040280383,0.9896335649999999,8,3,0.0001,False
ResNet18,baseline,jpeg,40.0,43,0.87795,0.9874887140461757,0.7656,0.8625021123190447,0.98261659,8,3,0.0001,False
