model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
BaselineCNN,robust,none,0.0,44,0.94825,0.9370186214292678,0.9611,0.9489065508219381,0.9892412799999999,17,12,0.001,True
BaselineCNN,robust,noise,0.04,44,0.9469,0.9414263137099961,0.9531,0.947227191413238,0.98863746,17,12,0.001,True
BaselineCNN,robust,noise,0.06,44,0.9441,0.9396159176400712,0.9492,0.9443836434185653,0.9873987500000001,17,12,0.001,True
BaselineCNN,robust,noise,0.08,44,0.9396,0.9352475247524753,0.9446,0.9399004975124378,0.985704865,17,12,0.001,True
BaselineCNN,robust,noise,0.09,44,0.9356,0.9289090192989365,0.9434,0.9360984322286168,0.984364535,17,12,0.001,True
BaselineCNN,robust,noise,0.1,44,0.93105,0.9253083374444993,0.9378,0.9315122920288056,0.9824095399999999,17,12,0.001,True
BaselineCNN,robust,blur,0.4,44,0.94545,0.9572000410551165,0.9326,0.9447399078154283,0.9879590200000001,17,12,0.001,True
BaselineCNN,robust,blur,0.6,44,0.84455,0.9815513626834381,0.7023,0.818770037889828,0.9675584999999999,17,12,0.001,True
BaselineCNN,robust,blur,0.7,44,0.79345,0.9792585333986608,0.5996,0.7437821745332754,0.9501176699999999,17,12,0.001,True
BaselineCNN,robust,blur,0.8,44,0.76325,0.9754379627957378,0.5401,0.6952436120229131,0.9332815699999999,17,12,0.001,True
BaselineCNN,robust,blur,1.0,44,0.7334,0.9609004739336493,0.4866,0.6460435475305364,0.902997865,17,12,0.001,True
BaselineCNN,robust,jpeg,80.0,44,0.94505,0.9424396063226961,0.948,0.9452116257041727,0.9879795200000001,17,12,0.001,True
BaselineCNN,robust,jpeg,65.0,44,0.949,0.9322294955718137,0.9684,0.949970570924073,0.989952995,17,12,0.001,True
BaselineCNN,robust,jpeg,58.0,44,0.9442,0.918898528857035,0.9744,0.9458357600465929,0.9898305300000001,17,12,0.001,True
BaselineCNN,robust,jpeg,50.0,44,0.9423,0.9238213875047911,0.9641,0.9435310236836955,0.987297995,17,12,0.001,True
BaselineCNN,robust,jpeg,40.0,44,0.9325,0.9545932310279588,0.9082,0.9308188992518192,0.982970165,17,12,0.001,True
